noise_level,noise_mult,tcr_sd,seed,clean_AUROC,leaky_AUROC,auc_inflation,clean_Brier,leaky_Brier
high,2.0,37.2,14,0.5223,0.9993,0.477,0.2516,0.0175
high,2.0,37.2,15,0.5396,0.9993,0.4597,0.2488,0.0166
high,2.0,37.2,16,0.5166,0.9997,0.4831,0.2509,0.0181
high,2.0,37.2,17,0.5037,0.9998,0.4961,0.2516,0.0134
high,2.0,37.2,18,0.5011,0.9998,0.4986,0.2511,0.0152
high,2.0,37.2,19,0.4822,0.9998,0.5175,0.2517,0.0154
high,2.0,37.2,20,0.5165,0.9996,0.4831,0.2514,0.0164
very_high,3.0,55.8,1,0.5118,0.9997,0.4879,0.2509,0.0161
very_high,3.0,55.8,2,0.4791,0.9997,0.5206,0.2525,0.0162
very_high,3.0,55.8,3,0.522,0.9998,0.4778,0.2511,0.0134
very_high,3.0,55.8,4,0.4765,0.9997,0.5232,0.2536,0.0172
very_high,3.0,55.8,5,0.4839,0.9996,0.5157,0.2518,0.0162
very_high,3.0,55.8,6,0.5023,0.9996,0.4973,0.2516,0.0165
very_high,3.0,55.8,7,0.4814,0.9997,0.5183,0.2534,0.016
very_high,3.0,55.8,8,0.4996,0.9996,0.5,0.2513,0.0168
very_high,3.0,55.8,9,0.4909,0.9998,0.5089,0.2529,0.0143
very_high,3.0,55.8,10,0.5124,0.9999,0.4874,0.2504,0.015
very_high,3.0,55.8,11,0.5273,0.9999,0.4726,0.2515,0.0148
very_high,3.0,55.8,12,0.5302,0.9995,0.4693,0.2493,0.0174
very_high,3.0,55.8,13,0.5078,0.9997,0.4919,0.2516,0.0173
very_high,3.0,55.8,14,0.5223,0.9993,0.477,0.2516,0.0175
very_high,3.0,55.8,15,0.5396,0.9994,0.4598,0.2488,0.0165
very_high,3.0,55.8,16,0.5166,0.9997,0.4831,0.2509,0.0182
very_high,3.0,55.8,17,0.5037,0.9998,0.4961,0.2516,0.0133
very_high,3.0,55.8,18,0.4999,0.9998,0.4998,0.2512,0.0152
very_high,3.0,55.8,19,0.4822,0.9998,0.5175,0.2517,0.0155
very_high,3.0,55.8,20,0.5165,0.9997,0.4832,0.2514,0.0165
