scenario,mechanism,target_rate,actual_miss_rate,strategy,seed,AUROC,Brier,n_folds
MCAR_5pct,MCAR,0.05,0.05,global_impute,16,0.52,0.2504,5
MCAR_5pct,MCAR,0.05,0.05,global_impute,17,0.4976,0.2523,5
MCAR_5pct,MCAR,0.05,0.05,global_impute,18,0.4939,0.2522,5
MCAR_5pct,MCAR,0.05,0.05,global_impute,19,0.4895,0.252,5
MCAR_5pct,MCAR,0.05,0.05,global_impute,20,0.5305,0.2507,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,1,0.5086,0.2518,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,2,0.4986,0.2528,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,3,0.5181,0.2508,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,4,0.5096,0.2511,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,5,0.4656,0.2533,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,6,0.5045,0.252,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,7,0.4892,0.2531,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,8,0.489,0.2518,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,9,0.4876,0.2528,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,10,0.511,0.2515,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,11,0.5306,0.2512,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,12,0.5138,0.251,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,13,0.5073,0.2526,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,14,0.515,0.2505,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,15,0.5496,0.2484,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,16,0.5171,0.2505,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,17,0.4992,0.2519,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,18,0.4974,0.2518,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,19,0.4857,0.2524,5
MCAR_10pct,MCAR,0.1,0.1,fold_impute,20,0.5268,0.2505,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,1,0.5092,0.2518,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,2,0.4973,0.2529,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,3,0.5174,0.2508,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,4,0.5105,0.2511,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,5,0.4664,0.2533,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,6,0.5038,0.252,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,7,0.4885,0.2531,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,8,0.4871,0.2519,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,9,0.4881,0.2528,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,10,0.5085,0.2517,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,11,0.5309,0.2511,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,12,0.5138,0.2511,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,13,0.5064,0.2526,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,14,0.5155,0.2504,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,15,0.5499,0.2483,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,16,0.5174,0.2505,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,17,0.4987,0.252,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,18,0.4971,0.2518,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,19,0.4848,0.2524,5
MCAR_10pct,MCAR,0.1,0.1,global_impute,20,0.5266,0.2505,5
MCAR_20pct,MCAR,0.2,0.2,fold_impute,1,0.5002,0.2517,5
MCAR_20pct,MCAR,0.2,0.2,fold_impute,2,0.4752,0.2532,5
MCAR_20pct,MCAR,0.2,0.2,fold_impute,3,0.5179,0.251,5
MCAR_20pct,MCAR,0.2,0.2,fold_impute,4,0.5048,0.2515,5
MCAR_20pct,MCAR,0.2,0.2,fold_impute,5,0.4727,0.2524,5
MCAR_20pct,MCAR,0.2,0.2,fold_impute,6,0.4908,0.2523,5
