scenario,n,seed,clean_AUROC,clean_Brier,in_null_range,leaky_AUROC,leaky_Brier,auc_inflation
null,500,10,0.48068,0.25375,1,,,
null,500,11,0.52288,0.25177,1,,,
null,500,12,0.52412,0.25462,1,,,
null,500,13,0.53715,0.24888,1,,,
null,500,14,0.54544,0.2534,1,,,
null,500,15,0.51936,0.25286,1,,,
null,500,16,0.44429,0.25692,0,,,
null,500,17,0.47093,0.25473,1,,,
null,500,18,0.49857,0.25435,1,,,
null,500,19,0.46094,0.25759,1,,,
null,500,20,0.45135,0.25392,1,,,
null,500,21,0.53545,0.255,1,,,
null,500,22,0.45931,0.25876,1,,,
null,500,23,0.55797,0.25079,0,,,
null,500,24,0.52626,0.25093,1,,,
null,500,25,0.4868,0.25529,1,,,
null,500,26,0.48897,0.25692,1,,,
null,500,27,0.60281,0.2457,0,,,
null,500,28,0.45414,0.25541,1,,,
null,500,29,0.55217,0.24876,0,,,
null,500,30,0.47483,0.25591,1,,,
weak_signal,500,1,0.55024,0.24894,0,,,
weak_signal,500,2,0.62899,0.23412,0,,,
weak_signal,500,3,0.6063,0.24387,0,,,
weak_signal,500,4,0.59133,0.24427,0,,,
weak_signal,500,5,0.64228,0.23428,0,,,
weak_signal,500,6,0.57504,0.2456,0,,,
weak_signal,500,7,0.57821,0.24369,0,,,
weak_signal,500,8,0.55083,0.24829,0,,,
weak_signal,500,9,0.58263,0.24357,0,,,
weak_signal,500,10,0.65283,0.23453,0,,,
weak_signal,500,11,0.6102,0.23973,0,,,
weak_signal,500,12,0.65075,0.23233,0,,,
weak_signal,500,13,0.56078,0.24705,0,,,
weak_signal,500,14,0.50757,0.25645,1,,,
weak_signal,500,15,0.49062,0.25616,1,,,
weak_signal,500,16,0.56961,0.24827,0,,,
weak_signal,500,17,0.53815,0.25096,1,,,
weak_signal,500,18,0.57476,0.24657,0,,,
weak_signal,500,19,0.57259,0.24789,0,,,
weak_signal,500,20,0.61728,0.23772,0,,,
weak_signal,500,21,0.5136,0.25357,1,,,
weak_signal,500,22,0.59948,0.23968,0,,,
weak_signal,500,23,0.52078,0.2515,1,,,
weak_signal,500,24,0.56235,0.24747,0,,,
weak_signal,500,25,0.54015,0.25166,1,,,
weak_signal,500,26,0.59323,0.24353,0,,,
weak_signal,500,27,0.56853,0.24779,0,,,
weak_signal,500,28,0.54848,0.24798,1,,,
weak_signal,500,29,0.60143,0.24276,0,,,
weak_signal,500,30,0.52007,0.2526,1,,,
moderate_signal,500,1,0.68789,0.22404,0,,,
moderate_signal,500,2,0.666,0.22361,0,,,
moderate_signal,500,3,0.69711,0.21922,0,,,
moderate_signal,500,4,0.60086,0.24332,0,,,
moderate_signal,500,5,0.68344,0.2201,0,,,
moderate_signal,500,6,0.66917,0.22611,0,,,
moderate_signal,500,7,0.6853,0.22103,0,,,
moderate_signal,500,8,0.67898,0.22548,0,,,
moderate_signal,500,9,0.69188,0.21779,0,,,
moderate_signal,500,10,0.67052,0.22826,0,,,
moderate_signal,500,11,0.70208,0.21728,0,,,
moderate_signal,500,12,0.66507,0.23191,0,,,
moderate_signal,500,13,0.67194,0.22347,0,,,
moderate_signal,500,14,0.62532,0.23672,0,,,
moderate_signal,500,15,0.61536,0.2357,0,,,
moderate_signal,500,16,0.63088,0.23508,0,,,
moderate_signal,500,17,0.61797,0.23968,0,,,
moderate_signal,500,18,0.66229,0.23068,0,,,
moderate_signal,500,19,0.64527,0.2324,0,,,
moderate_signal,500,20,0.67994,0.22279,0,,,
moderate_signal,500,21,0.63924,0.23188,0,,,
moderate_signal,500,22,0.65332,0.22904,0,,,
moderate_signal,500,23,0.65071,0.23125,0,,,
moderate_signal,500,24,0.68165,0.22443,0,,,
moderate_signal,500,25,0.60504,0.24141,0,,,
moderate_signal,500,26,0.68641,0.22146,0,,,
moderate_signal,500,27,0.68016,0.2256,0,,,
moderate_signal,500,28,0.64998,0.23343,0,,,
moderate_signal,500,29,0.68568,0.22394,0,,,
moderate_signal,500,30,0.61175,0.24018,0,,,
wbv_positive,500,1,0.82219,0.17325,0,,,
wbv_positive,500,2,0.84608,0.15533,0,,,
wbv_positive,500,3,0.84618,0.16011,0,,,
wbv_positive,500,4,0.85184,0.15753,0,,,
wbv_positive,500,5,0.8489,0.1572,0,,,
wbv_positive,500,6,0.83861,0.16335,0,,,
wbv_positive,500,7,0.81345,0.17097,0,,,
wbv_positive,500,8,0.81131,0.176,0,,,
wbv_positive,500,9,0.80415,0.17886,0,,,
wbv_positive,500,10,0.81902,0.17504,0,,,
wbv_positive,500,11,0.82156,0.17127,0,,,
wbv_positive,500,12,0.8784,0.1412,0,,,
wbv_positive,500,13,0.81141,0.17762,0,,,
wbv_positive,500,14,0.83904,0.1655,0,,,
wbv_positive,500,15,0.83719,0.16053,0,,,
wbv_positive,500,16,0.77565,0.19292,0,,,
wbv_positive,500,17,0.85271,0.15747,0,,,
wbv_positive,500,18,0.85175,0.15635,0,,,
wbv_positive,500,19,0.82489,0.16649,0,,,
wbv_positive,500,20,0.84693,0.16153,0,,,
wbv_positive,500,21,0.85088,0.15561,0,,,
wbv_positive,500,22,0.86496,0.14821,0,,,
wbv_positive,500,23,0.81522,0.17776,0,,,
wbv_positive,500,24,0.82281,0.17379,0,,,
wbv_positive,500,25,0.82593,0.17294,0,,,
wbv_positive,500,26,0.80468,0.17535,0,,,
wbv_positive,500,27,0.82281,0.1708,0,,,
wbv_positive,500,28,0.82923,0.16953,0,,,
wbv_positive,500,29,0.82385,0.17209,0,,,
wbv_positive,500,30,0.79798,0.18574,0,,,
null,750,1,0.52743,0.25214,1,,,
null,750,2,0.52137,0.25175,1,,,
null,750,3,0.53714,0.24911,1,,,
null,750,4,0.46593,0.25573,1,,,
null,750,5,0.51549,0.25232,1,,,
null,750,6,0.53867,0.24914,1,,,
null,750,7,0.53985,0.24834,1,,,
null,750,8,0.496,0.2521,1,,,
null,750,9,0.51481,0.25069,1,,,
null,750,10,0.47457,0.25283,1,,,
null,750,11,0.48459,0.25331,1,,,
null,750,12,0.50489,0.25431,1,,,
null,750,13,0.50665,0.25491,1,,,
null,750,14,0.4731,0.25369,1,,,
null,750,15,0.48777,0.2528,1,,,
null,750,16,0.47937,0.25258,1,,,
null,750,17,0.53383,0.2506,1,,,
null,750,18,0.48471,0.25496,1,,,
null,750,19,0.54054,0.25089,1,,,
null,750,20,0.51959,0.25176,1,,,
null,750,21,0.45497,0.25873,1,,,
null,750,22,0.51641,0.25277,1,,,
null,750,23,0.5012,0.25606,1,,,
null,750,24,0.51277,0.25073,1,,,
null,750,25,0.52144,0.25134,1,,,
null,750,26,0.49355,0.25388,1,,,
