pipeline,model,seed,AUROC_mean_folds,PR_AUC_mean_folds,n_folds_valid,cohort,label
clean,LogisticRegression,1,0.8443434720103655,0.34777328445487427,5,eICU,label48h
clean,RandomForest,1,0.8951796203018386,0.41697589831338056,5,eICU,label48h
clean,SVM,1,0.8439973514964698,0.3460608243684774,5,eICU,label48h
clean,XGBoost,1,0.877155428099487,0.4100131011263127,5,eICU,label48h
clean,LogisticRegression,2,0.8445263857981491,0.3462471357857505,5,eICU,label48h
clean,RandomForest,2,0.895099495914834,0.4169412060572757,5,eICU,label48h
clean,SVM,2,0.8442084345995655,0.344668590075998,5,eICU,label48h
clean,XGBoost,2,0.8778422677829051,0.41110235146200297,5,eICU,label48h
clean,LogisticRegression,3,0.8444332260864569,0.347413434163245,5,eICU,label48h
clean,RandomForest,3,0.8961452076023736,0.4169150056362126,5,eICU,label48h
clean,SVM,3,0.8441075320871029,0.3456507037422701,5,eICU,label48h
clean,XGBoost,3,0.8778081674267298,0.4102535203422385,5,eICU,label48h
clean,LogisticRegression,4,0.8444773580244217,0.34671208111979,5,eICU,label48h
clean,RandomForest,4,0.8957674168420116,0.418334523427024,5,eICU,label48h
clean,SVM,4,0.8441724185550331,0.34519242734500927,5,eICU,label48h
clean,XGBoost,4,0.8776872574062764,0.4090403872234506,5,eICU,label48h
clean,LogisticRegression,5,0.8442427130355444,0.3468029574327652,5,eICU,label48h
clean,RandomForest,5,0.8957229142646007,0.41609963718394666,5,eICU,label48h
clean,SVM,5,0.8439201237571397,0.34510766535220594,5,eICU,label48h
clean,XGBoost,5,0.877990588531673,0.40992668303281443,5,eICU,label48h
clean,LogisticRegression,6,0.8444532669143291,0.347226077198797,5,eICU,label48h
clean,RandomForest,6,0.8952270827402632,0.4183328295735863,5,eICU,label48h
clean,SVM,6,0.8441232292402727,0.345646381213984,5,eICU,label48h
clean,XGBoost,6,0.8783181304823573,0.41194367128142717,5,eICU,label48h
clean,LogisticRegression,7,0.8447294280285146,0.34720881522021163,5,eICU,label48h
clean,RandomForest,7,0.8957773312858762,0.41870442475314984,5,eICU,label48h
clean,SVM,7,0.8444194973181794,0.3455173948542049,5,eICU,label48h
clean,XGBoost,7,0.879710650256398,0.4106579742704263,5,eICU,label48h
clean,LogisticRegression,8,0.844395990068618,0.34671438263228194,5,eICU,label48h
clean,RandomForest,8,0.8957002226260793,0.41650068712172794,5,eICU,label48h
clean,SVM,8,0.8440622706245773,0.34506349094252364,5,eICU,label48h
clean,XGBoost,8,0.8783442701304676,0.40867341402955776,5,eICU,label48h
clean,LogisticRegression,9,0.8442883511690994,0.3472371834517821,5,eICU,label48h
clean,RandomForest,9,0.8954381969283236,0.41665727657307183,5,eICU,label48h
clean,SVM,9,0.844000382307444,0.3457200577610766,5,eICU,label48h
clean,XGBoost,9,0.8785722296968596,0.4103667285071516,5,eICU,label48h
clean,LogisticRegression,10,0.8441769964863519,0.34669957262686807,5,eICU,label48h
clean,RandomForest,10,0.8955008714207933,0.41720724564257755,5,eICU,label48h
clean,SVM,10,0.8438603036556801,0.34516707447803563,5,eICU,label48h
clean,XGBoost,10,0.8780142848663693,0.4124087873836488,5,eICU,label48h
clean,LogisticRegression,11,0.8442775888348383,0.3462233900933892,5,eICU,label48h
clean,RandomForest,11,0.8956819074176423,0.4170885242130563,5,eICU,label48h
clean,SVM,11,0.8439148102419282,0.34435895489386054,5,eICU,label48h
clean,XGBoost,11,0.878099399157602,0.410070359548185,5,eICU,label48h
clean,LogisticRegression,12,0.8445481755197518,0.3471446481220412,5,eICU,label48h
clean,RandomForest,12,0.8950291808392354,0.41642182465702104,5,eICU,label48h
clean,SVM,12,0.8442235263441038,0.3456189760328906,5,eICU,label48h
clean,XGBoost,12,0.8781857326566532,0.41058727449677157,5,eICU,label48h
clean,LogisticRegression,13,0.844520165561524,0.3466752202521992,5,eICU,label48h
clean,RandomForest,13,0.8960052354746019,0.4178467454887181,5,eICU,label48h
clean,SVM,13,0.8441825760143887,0.3449484747577795,5,eICU,label48h
clean,XGBoost,13,0.8787942543660986,0.4109438780245771,5,eICU,label48h
clean,LogisticRegression,14,0.844291342940189,0.34585892317762457,5,eICU,label48h
clean,RandomForest,14,0.895686531993718,0.4186366848740855,5,eICU,label48h
clean,SVM,14,0.8439977190749259,0.34425421002052314,5,eICU,label48h
clean,XGBoost,14,0.8783219831359818,0.4116302931564297,5,eICU,label48h
clean,LogisticRegression,15,0.844280773271354,0.34737481246780494,5,eICU,label48h
clean,RandomForest,15,0.8959284300615014,0.4155854838135805,5,eICU,label48h
clean,SVM,15,0.8439639517771633,0.3456040779727768,5,eICU,label48h
clean,XGBoost,15,0.878744776668186,0.41130904944603397,5,eICU,label48h
clean,LogisticRegression,16,0.8446836645626595,0.34704591144801206,5,eICU,label48h
clean,RandomForest,16,0.8958983126274939,0.4191590926833122,5,eICU,label48h
clean,SVM,16,0.8443631510605645,0.34524439645553356,5,eICU,label48h
clean,XGBoost,16,0.8780344842685281,0.410608193843163,5,eICU,label48h
clean,LogisticRegression,17,0.8442308815464086,0.34655958476952914,5,eICU,label48h
clean,RandomForest,17,0.8951003949457862,0.4180580793477504,5,eICU,label48h
clean,SVM,17,0.8439178006974558,0.3451219689930374,5,eICU,label48h
clean,XGBoost,17,0.8782195602365904,0.4105646076674006,5,eICU,label48h
clean,LogisticRegression,18,0.8443969345749387,0.3464237856075781,5,eICU,label48h
clean,RandomForest,18,0.8953516087612474,0.41762297745796156,5,eICU,label48h
clean,SVM,18,0.8440781961816507,0.34473698602267955,5,eICU,label48h
clean,XGBoost,18,0.8777566092999567,0.41076450585216984,5,eICU,label48h
clean,LogisticRegression,19,0.8444561786226903,0.34634272756466095,5,eICU,label48h
clean,RandomForest,19,0.8960629164392777,0.41793857895942355,5,eICU,label48h
clean,SVM,19,0.8441012320041246,0.34463847580706986,5,eICU,label48h
clean,XGBoost,19,0.8777952908946276,0.40904614293026037,5,eICU,label48h
clean,LogisticRegression,20,0.8443219146547392,0.3467026072669319,5,eICU,label48h
clean,RandomForest,20,0.8955754781371482,0.41669627123187103,5,eICU,label48h
clean,SVM,20,0.8440218127440176,0.34506223464906777,5,eICU,label48h
clean,XGBoost,20,0.8780493631112554,0.4084276941135391,5,eICU,label48h
clean,LogisticRegression,21,0.8442256012000969,0.3472172495368263,5,eICU,label48h
clean,RandomForest,21,0.8959510890321525,0.41714426929260673,5,eICU,label48h
