pipeline,model,seed,AUROC_mean_folds,PR_AUC_mean_folds,n_folds_valid,cohort,label
clean,RandomForest,21,0.9071973572263088,0.3500641124465241,5,eICU,label24h
clean,SVM,21,0.8459482271757187,0.2534073884615979,5,eICU,label24h
clean,XGBoost,21,0.8927428359714009,0.34725147509930737,5,eICU,label24h
clean,LogisticRegression,22,0.8465170055330058,0.255213365584556,5,eICU,label24h
clean,RandomForest,22,0.9072761496939705,0.3530363410556167,5,eICU,label24h
clean,SVM,22,0.8461494185311915,0.25368610288261795,5,eICU,label24h
clean,XGBoost,22,0.89257351941535,0.3481500878700647,5,eICU,label24h
clean,LogisticRegression,23,0.8465392642591475,0.2567933905182401,5,eICU,label24h
clean,RandomForest,23,0.9055380278057059,0.35250507886119464,5,eICU,label24h
clean,SVM,23,0.8461797589497613,0.2550781231908942,5,eICU,label24h
clean,XGBoost,23,0.8922059426372263,0.34622584325352496,5,eICU,label24h
clean,LogisticRegression,24,0.8464684388268393,0.25593339361931894,5,eICU,label24h
clean,RandomForest,24,0.9063943221629321,0.35243223490843445,5,eICU,label24h
clean,SVM,24,0.8461297831438728,0.25443342148546444,5,eICU,label24h
clean,XGBoost,24,0.8919530848375599,0.3492166110537877,5,eICU,label24h
clean,LogisticRegression,25,0.8468739901319919,0.25645570155160574,5,eICU,label24h
clean,RandomForest,25,0.9064469372448329,0.3537258686063169,5,eICU,label24h
clean,SVM,25,0.8465638145275294,0.2550332585284409,5,eICU,label24h
clean,XGBoost,25,0.8923590534670351,0.3480698678145187,5,eICU,label24h
clean,LogisticRegression,26,0.8467385578702695,0.2561610724596567,5,eICU,label24h
clean,RandomForest,26,0.9065506242905303,0.35064880806759285,5,eICU,label24h
clean,SVM,26,0.8463866220734024,0.2545140835738857,5,eICU,label24h
clean,XGBoost,26,0.8924313302740916,0.34790090162055287,5,eICU,label24h
clean,LogisticRegression,27,0.846845784832313,0.256201006705035,5,eICU,label24h
clean,RandomForest,27,0.9067673477035922,0.3524035455959491,5,eICU,label24h
clean,SVM,27,0.846529913778412,0.2548440136743928,5,eICU,label24h
clean,XGBoost,27,0.892328111710985,0.34866248532230115,5,eICU,label24h
clean,LogisticRegression,28,0.8464125398544005,0.25620946427964697,5,eICU,label24h
clean,RandomForest,28,0.9064058717679042,0.35155960659343183,5,eICU,label24h
clean,SVM,28,0.846077825870854,0.2546988005504386,5,eICU,label24h
clean,XGBoost,28,0.8925600148956455,0.34803005439811135,5,eICU,label24h
clean,LogisticRegression,29,0.8464633035148685,0.25436032810581843,5,eICU,label24h
clean,RandomForest,29,0.9054962816968664,0.3505476752908113,5,eICU,label24h
clean,SVM,29,0.846172913804075,0.25278158370237735,5,eICU,label24h
clean,XGBoost,29,0.893022332390818,0.3477123040769726,5,eICU,label24h
clean,LogisticRegression,30,0.8466141069050623,0.2560592818826028,5,eICU,label24h
clean,RandomForest,30,0.9067904252650596,0.3508643501703049,5,eICU,label24h
clean,SVM,30,0.8462815934392893,0.254417306306753,5,eICU,label24h
clean,XGBoost,30,0.891775927615571,0.34742836099234425,5,eICU,label24h
leaky_discharge_location,LogisticRegression,1,0.9856973199239286,0.607800560196312,5,eICU,label24h
leaky_discharge_location,RandomForest,1,0.987536465026883,0.6839201719979462,5,eICU,label24h
leaky_discharge_location,SVM,1,0.9855374317561431,0.6008294578189348,5,eICU,label24h
leaky_discharge_location,XGBoost,1,0.9893237664322438,0.7264174597799722,5,eICU,label24h
leaky_discharge_location,LogisticRegression,2,0.9857509876168324,0.6099671524123649,5,eICU,label24h
leaky_discharge_location,RandomForest,2,0.9875263468049432,0.6856080179113102,5,eICU,label24h
leaky_discharge_location,SVM,2,0.9855977269840774,0.6027433903177333,5,eICU,label24h
leaky_discharge_location,XGBoost,2,0.9892817903191229,0.7259921721077507,5,eICU,label24h
leaky_discharge_location,LogisticRegression,3,0.9857757290938862,0.6095554434469086,5,eICU,label24h
leaky_discharge_location,RandomForest,3,0.9876703713884172,0.6873641729585985,5,eICU,label24h
leaky_discharge_location,SVM,3,0.9856207683556271,0.6027403120103667,5,eICU,label24h
leaky_discharge_location,XGBoost,3,0.9892758378772492,0.7270289680124487,5,eICU,label24h
leaky_discharge_location,LogisticRegression,4,0.985714388127516,0.6078011199953087,5,eICU,label24h
leaky_discharge_location,RandomForest,4,0.9875308723164654,0.683624896603056,5,eICU,label24h
leaky_discharge_location,SVM,4,0.985557806994032,0.600940695354312,5,eICU,label24h
leaky_discharge_location,XGBoost,4,0.9893201784831328,0.7269948190966605,5,eICU,label24h
leaky_discharge_location,LogisticRegression,5,0.9857148057681494,0.609277695168809,5,eICU,label24h
leaky_discharge_location,RandomForest,5,0.987614794906834,0.6845801946168477,5,eICU,label24h
leaky_discharge_location,SVM,5,0.9855587738870655,0.601674181078962,5,eICU,label24h
leaky_discharge_location,XGBoost,5,0.9892844984579506,0.7272892118045552,5,eICU,label24h
leaky_discharge_location,LogisticRegression,6,0.9857926346098459,0.6103641144988466,5,eICU,label24h
leaky_discharge_location,RandomForest,6,0.9876062293874315,0.6849343656675875,5,eICU,label24h
leaky_discharge_location,SVM,6,0.9856430041835329,0.6032396024004612,5,eICU,label24h
leaky_discharge_location,XGBoost,6,0.9893467534027882,0.7295536419475507,5,eICU,label24h
leaky_discharge_location,LogisticRegression,7,0.9857232525847982,0.6075300683944926,5,eICU,label24h
leaky_discharge_location,RandomForest,7,0.9876721410468694,0.6867336083151638,5,eICU,label24h
leaky_discharge_location,SVM,7,0.9855696642188361,0.6011944485853512,5,eICU,label24h
leaky_discharge_location,XGBoost,7,0.9893605562299632,0.7289398308020218,5,eICU,label24h
leaky_discharge_location,LogisticRegression,8,0.9857736904342544,0.6098899177082405,5,eICU,label24h
leaky_discharge_location,RandomForest,8,0.9876454321486472,0.6858338718863803,5,eICU,label24h
leaky_discharge_location,SVM,8,0.9856206933391318,0.6026518527909565,5,eICU,label24h
leaky_discharge_location,XGBoost,8,0.9893478818774681,0.7274021630529497,5,eICU,label24h
leaky_discharge_location,LogisticRegression,9,0.9857294153599708,0.6086067991597662,5,eICU,label24h
leaky_discharge_location,RandomForest,9,0.9875521100980584,0.6841864008632741,5,eICU,label24h
leaky_discharge_location,SVM,9,0.9855674759110957,0.601506789550095,5,eICU,label24h
leaky_discharge_location,XGBoost,9,0.9893994446115894,0.7282738386912962,5,eICU,label24h
leaky_discharge_location,LogisticRegression,10,0.9857560429464527,0.6089337816082697,5,eICU,label24h
leaky_discharge_location,RandomForest,10,0.9875027333712367,0.6837488163155548,5,eICU,label24h
leaky_discharge_location,SVM,10,0.9856103183636484,0.6018542087983774,5,eICU,label24h
